ts pkg_count pkg_ms core_count core_ms mhz4 mhz60
1789361050.655830956 43282 95379 417 894 3247 2900
1789361052.680391204 43282 95379 417 894 3099 3100
1789361054.708308195 43283 95385 417 894 2900 2909
1789361056.733366754 43283 95385 417 894 799 800
1789361058.759644099 43283 95385 417 894 2900 2900
1789361060.784079490 43283 95385 417 894 2900 2900
1789361062.805721347 43283 95385 417 894 800 2900
1789361064.832809862 43283 95385 417 894 3400 800
1789361066.856548662 43283 95385 417 894 1513 800
1789361068.878308770 43284 95387 417 894 3400 800
1789361070.900760610 43284 95387 417 894 2900 2900
1789361072.913470705 43285 95390 417 894 2873 2900
1789361074.928272923 43286 95392 417 894 799 800
1789361076.954048498 43286 95392 417 894 3100 2899
1789361078.981218378 43287 95395 417 894 3100 3099
1789361081.006247955 43287 95395 417 894 3223 800
1789361083.035695045 43287 95395 417 894 796 3100
1789361085.063226619 43287 95395 417 894 796 2900
1789361087.089209233 43287 95395 417 894 2900 2899
1789361089.116641494 43287 95395 417 894 3397 800
1789361091.144172257 43308 95451 417 894 3400 800
1789361093.172215486 43308 95451 417 894 3100 3100
1789361095.198182823 43310 95457 417 894 3970 800
1789361097.225079301 43316 95473 417 894 3987 800
1789361099.250639875 43332 95509 417 894 1295 3100
1789361101.279688615 43332 95509 417 894 796 3100
1789361103.309865179 43332 95509 417 894 799 800
1789361105.336916215 43332 95509 417 894 800 800
1789361107.365485545 43332 95509 417 894 799 800
1789361109.395378941 43332 95509 417 894 800 800
1789361111.424144202 43332 95509 417 894 800 800
1789361113.450714823 43332 95509 417 894 800 3100
1789361115.476017975 43335 95516 417 894 800 800
1789361117.502922222 43335 95516 417 894 800 800
1789361119.528653692 43335 95516 417 894 1316 800
1789361121.553817768 43335 95516 417 894 800 800
1789361123.577765415 43335 95516 417 894 759 800
1789361125.602809892 43335 95516 417 894 1101 800
1789361127.633513515 43335 95516 417 894 800 800
1789361129.659589923 43335 95516 417 894 800 800
1789361131.689459349 43335 95516 417 894 948 800
1789361133.715755149 43335 95516 417 894 834 800
1789361135.743469568 43335 95516 417 894 800 2419
1789361137.769147811 43335 95516 417 894 2900 2900
1789361139.783189350 43335 95516 417 894 1794 800
1789361141.807947706 43335 95516 417 894 800 800
1789361143.835910305 43335 95516 417 894 799 800
1789361145.863557498 43335 95516 417 894 2885 800
1789361147.889367716 43335 95516 417 894 799 1575
1789361149.918000898 43335 95516 417 894 828 1285
1789361151.947723669 43335 95516 417 894 783 3123
1789361153.975290462 43335 95516 417 894 800 800
1789361156.002640016 43335 95516 417 894 920 800
1789361158.028877085 43335 95516 417 894 800 800
1789361160.057213260 43335 95516 417 894 801 800
1789361162.084305489 43336 95519 417 894 864 800
1789361164.109121406 43336 95519 417 894 770 3100
1789361166.138048714 43336 95519 417 894 800 800
1789361168.166829023 43336 95519 417 894 799 800
1789361170.191142188 43336 95519 417 894 839 800
1789361172.218531839 43336 95519 417 894 800 800
1789361174.241848472 43336 95519 417 894 895 800
1789361176.266554923 43336 95519 417 894 799 800
1789361178.296929472 43336 95519 417 894 796 800
1789361180.324975780 43336 95519 417 894 800 800
1789361182.350642336 43336 95519 417 894 800 800
1789361184.376005758 43336 95519 417 894 800 800
1789361186.399136886 43336 95519 417 894 798 800
1789361188.427523548 43336 95519 417 894 3099 800
1789361190.455753518 43336 95519 417 894 800 800
1789361192.482558273 43336 95519 417 894 798 800
1789361194.508135691 43336 95519 417 894 799 800
1789361196.536416469 43336 95519 417 894 1775 800
1789361198.561738092 43336 95519 417 894 797 3100
1789361200.583797485 43336 95519 417 894 800 3100
1789361202.613225182 43336 95519 417 894 796 3100
1789361204.642026319 43336 95519 417 894 800 3100
1789361206.666025243 43336 95519 417 894 887 3100
1789361208.696548971 43336 95519 417 894 800 800
1789361210.720953405 43336 95519 417 894 800 800
1789361212.747451078 43336 95519 417 894 799 800
1789361214.776929209 43336 95519 417 894 846 800
1789361216.804191596 43336 95519 417 894 761 800
1789361218.834400885 43336 95519 417 894 869 800
1789361220.859369454 43336 95519 417 894 798 1700
1789361222.890331075 43336 95519 417 894 800 800
1789361224.914833952 43336 95519 417 894 2293 800
1789361226.939616190 43336 95519 417 894 799 800
1789361228.965138387 43336 95519 417 894 850 3060
1789361230.992627546 43336 95519 417 894 792 3083
1789361233.021736441 43336 95519 417 894 3009 3100
1789361235.050459026 43336 95519 417 894 3099 3100
1789361237.079550584 43336 95519 417 894 1400 800
1789361239.106773408 43336 95519 417 894 1187 800
1789361241.133987438 43336 95519 417 894 1159 2006
1789361243.160558763 43336 95519 417 894 800 1417
1789361245.185785253 43336 95519 417 894 800 756
1789361247.211974927 43336 95519 417 894 2998 2900
1789361249.231060423 43336 95519 417 894 800 1917
1789361251.262830584 43336 95519 417 894 2206 3138
1789361253.286256528 43336 95519 417 894 1810 3400
1789361255.310981158 43336 95519 417 894 2900 2900
1789361257.332317962 43336 95519 417 894 800 3100
1789361259.361232483 43336 95519 417 894 1952 3100
1789361261.386524496 43336 95519 417 894 3400 865
1789361263.411648328 43336 95519 417 894 800 800
1789361265.436344889 43336 95519 417 894 800 3100
1789361267.463292282 43336 95519 417 894 3388 3400
1789361269.487977253 43336 95519 417 894 2191 3399
1789361271.513401694 43340 95528 417 894 2280 800
1789361273.540211618 43340 95528 417 894 1743 3100
1789361275.567420396 43340 95528 417 894 796 800
1789361277.593886179 43349 95550 417 894 800 800
1789361279.617417110 43355 95562 417 894 2100 3099
1789361281.644242851 43355 95562 417 894 2563 3100
1789361283.672909448 43355 95562 417 894 1079 3400
1789361285.698822111 43356 95564 417 894 882 1568
1789361287.725595335 43366 95590 417 894 800 800
1789361289.748350203 43373 95606 417 894 1381 3100
1789361291.774621000 43373 95606 417 894 940 2957
1789361293.800903163 43373 95606 417 894 2872 3100
1789361295.826916221 43373 95606 417 894 975 3313
1789361297.852988220 43376 95613 417 894 800 3100
1789361299.878977560 43376 95613 417 894 799 800
1789361301.905782325 43376 95613 417 894 1195 800
1789361303.934888559 43376 95613 417 894 1900 800
1789361305.958420329 43376 95613 417 894 800 800
1789361307.985308593 43376 95613 417 894 800 800
1789361310.012129232 43376 95613 417 894 798 800
1789361312.039611838 43376 95613 417 894 793 800
1789361314.067790214 43376 95613 417 894 798 800
1789361316.095233311 43376 95613 417 894 798 800
1789361318.121416899 43376 95613 417 894 797 800
1789361320.146843046 43376 95613 417 894 961 3100
1789361322.174652933 43376 95613 417 894 1460 3100
1789361324.202593912 43376 95613 417 894 799 2440
1789361326.229599611 43376 95613 417 894 799 3217
1789361328.254564816 43376 95613 417 894 800 3100
1789361330.285388784 43376 95613 417 894 890 3305
1789361332.312849345 43376 95613 417 894 758 800
1789361334.339236641 43376 95613 417 894 797 3100
1789361336.367785501 43376 95613 417 894 800 3400
